location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date,price_per_sqft,amenity_score,month
Westlands,Apartment,1,1,936.47,Parking (1),10500000,2026-02-17,11212.318600702638,1,2
Westlands,Apartment,2,2,1173.28,Parking (1),13800000,2026-02-17,11761.898268103096,1,2
Westlands,House,2,3,1184.04,Parking (1),13000000,2026-02-17,10979.358805445763,1,2
Westlands,Apartment,3,4,1700.71,Parking (2),19800000,2026-02-17,11642.196494405278,1,2
Westlands,Apartment,3,4,1808.35,Parking (2),21800000,2026-02-17,12055.188431443028,1,2
Kilimani,Apartment,2,3,1076.4,Parking (1),10800000,2026-02-17,10033.44481605351,1,2
Kilimani,Apartment,1,1,807.3,Parking (1),8200000,2026-02-17,10157.314505140592,1,2
Kileleshwa,Apartment,2,2,861.12,Parking (2),7150000,2026-02-17,8303.140096618357,1,2
Lower Kabete,Apartment,1,1,548.96,Parking (1),4310000,2026-02-17,7851.209559895074,1,2
Westlands,Apartment,2,3,1399.32,Parking (2),17800000,2026-02-17,12720.464225480948,1,2
Westlands,Apartment,3,4,1636.13,Parking (2),19500000,2026-02-17,11918.368344813676,1,2
Westlands,Apartment,4,5,2174.33,Parking (2),27000000,2026-02-17,12417.618300809905,1,2
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-17,10330.732069862504,1,2
Westlands,Apartment,2,2,1485.43,Parking (2),20010000,2026-02-17,13470.84682549834,1,2
Westlands,Apartment,1,1,699.66,Parking (1),6500000,2026-02-17,9290.22668153103,1,2
Westlands,Apartment,1,1,721.19,Parking (1),8100000,2026-02-17,11231.436930628544,1,2
Westlands,Apartment,2,2,1108.69,Parking (1),11500000,2026-02-17,10372.601899539095,1,2
Westlands,Apartment,1,1,721.19,Parking (1),8200000,2026-02-17,11370.096645821488,1,2
Westlands,Apartment,1,1,818.06,Parking (1),9000000,2026-02-17,11001.638021661003,1,2
Lower Kabete,Apartment,1,1,365.98,Parking (1),4720000,2026-02-17,12896.8796109077,1,2
Westlands,Apartment,1,1,516.67,Parking (1),6200000,2026-02-17,11999.92258114464,1,2
Lavington,Apartment,3,4,8406.68,Parking (2),30000000,2026-02-17,3568.5906921638507,1,2
Syokimau,Apartment,2,2,1162.51,Parking (1),8000000,2026-02-17,6881.661233021651,1,2
Kileleshwa,Apartment,2,2,914.94,Parking (2),7150000,2026-02-17,7814.720090934924,1,2
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-17,10992.284125723363,1,2
Westlands,Apartment,2,2,1001.05,Parking (1),11800000,2026-02-17,11787.622995854354,1,2
Westlands,Apartment,3,2,1463.9,Parking (1),14800000,2026-02-17,10109.980189903681,1,2
Westlands,Apartment,3,4,1711.48,Parking (2),22680000,2026-02-17,13251.688597003762,1,2
Kileleshwa,Apartment,4,5,2906.28,Parking (2),24500000,2026-02-17,8430.020507315192,1,2
Westlands,Apartment,1,1,624.31,Parking (1),9000000,2026-02-17,14415.915170348066,1,2
Westlands,Townhouse,4,5,1044.11,Parking (3),85000000,2026-02-17,81409.04693949872,1,2
Westlands,Apartment,1,1,559.73,Parking (1),6440000,2026-02-17,11505.54731745663,1,2
Kilimani,Apartment,1,1,645.84,Parking (1),6500000,2026-02-17,10064.412238325282,1,2
Kilimani,Apartment,1,1,645.84,Parking (1),6000000,2026-02-17,9290.226681531029,1,2
Kilimani,Apartment,1,1,592.02,Parking (1),6000000,2026-02-17,10134.792743488397,1,2
Kilimani,Apartment,1,1,592.02,Parking (1),5500000,2026-02-17,9290.22668153103,1,2
Syokimau,Apartment,3,4,548.96,Parking (2),11500000,2026-02-17,20948.70300204022,1,2
Kilimani,Apartment,1,1,301.39,Parking (1),10500000,2026-02-17,34838.581240253494,1,2
Westlands,Apartment,5,6,2852.46,Parking (4),35000000,2026-02-17,12270.110711456076,1,2
Westlands,Apartment,1,1,441.32,Parking (1),5880000,2026-02-17,13323.665367533762,1,2
Westlands,Apartment,3,4,1722.24,Parking (2),24610000,2026-02-17,14289.529914529914,1,2
Westlands,Townhouse,4,5,2292.73,Parking (2),31000000,2026-02-17,13520.99898374427,1,2
Westlands,Apartment,2,2,1011.82,Parking (2),12600000,2026-02-17,12452.807811666105,1,2
