location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date
Kiambu Road,House,4,5,3229.2,Parking (5),35000000,2026-02-20
Kilimani,Apartment,3,3,1722.24,Parking (2),17800000,2026-02-20
Lavington,Townhouse,5,6,9687.6,Parking (5),220000000,2026-02-20
Kilimani,Apartment,3,3,1722.24,Parking (2),17800000,2026-02-20
Lavington,House,5,6,9687.6,Parking (5),220000000,2026-02-20
Kileleshwa,Apartment,5,6,3950.39,Parking (2),41000000,2026-02-20
Kileleshwa,Apartment,3,3,1463.9,Parking (2),12500000,2026-02-20
Westlands,Apartment,4,5,2174.33,Parking (5),27000000,2026-02-20
Westlands,Apartment,3,4,1636.13,Parking (2),19500000,2026-02-20
Westlands,Apartment,2,3,1560.78,Parking (1),16450000,2026-02-20
Westlands,Apartment,2,3,1453.14,Parking (1),15150000,2026-02-20
Westlands,Apartment,2,3,1399.32,Parking (1),14450000,2026-02-20
Westlands,Apartment,3,4,1991.34,Parking (7),23000000,2026-02-20
Westlands,Apartment,3,4,1991.34,Parking (7),23000000,2026-02-20
Westlands,Apartment,2,3,1399.32,Parking (1),14450000,2026-02-20
Westlands,Apartment,3,4,2131.27,Parking (2),22550000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-20
Kilimani,Apartment,2,2,1313.21,Parking (1),15600000,2026-02-20
Westlands,Apartment,2,3,1560.78,Parking (1),16450000,2026-02-20
Westlands,Apartment,2,3,1453.14,Parking (1),15150000,2026-02-20
Westlands,Apartment,1,1,409.03,Parking (1),7749000,2026-02-20
Lavington,Townhouse,5,6,6781.32,"Parking (4), Garden",125000000,2026-02-20
Kilimani,Apartment,1,1,484.38,None,5500000,2026-02-20
Westlands,Apartment,2,3,1184.04,Parking (1),13000000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),6900000,2026-02-20
Kileleshwa,Apartment,1,1,710.42,Parking (1),7000000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),6900000,2026-02-20
Kilimani,Apartment,2,2,1313.21,Parking (1),15600000,2026-02-20
Westlands,Apartment,3,4,2131.27,Parking (2),22550000,2026-02-20
Kilimani,Apartment,2,2,1291.68,Parking (1),14800000,2026-02-20
Kilimani,Apartment,3,3,1722.24,Parking (2),17800000,2026-02-20
Westlands,Apartment,2,2,882.65,Parking (1),12000000,2026-02-20
Kilimani,Apartment,2,2,1130.22,Parking (1),9700000,2026-02-20
Kilimani,Apartment,2,2,1184.04,Parking (1),11800000,2026-02-20
Kilimani,Apartment,2,2,1216.33,Parking (1),12800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Muthangari,Apartment,3,4,1733.0,Parking (2),27790000,2026-02-20
Kilimani,Apartment,3,3,1399.32,Parking (1),15800000,2026-02-20
Westlands,Apartment,2,2,1087.16,Parking (2),13000000,2026-02-20
Westlands,Apartment,2,2,968.76,Parking (2),14000000,2026-02-20
Westlands,Apartment,1,1,624.31,Parking (1),8700000,2026-02-20
Westlands,Apartment,1,1,624.31,Parking (1),8700000,2026-02-20
Westlands,Apartment,3,3,1506.96,Parking (3),19000000,2026-02-20
Westlands,Apartment,1,1,559.73,Parking (1),6440000,2026-02-20
Westlands,Apartment,2,2,1119.46,Parking (2),12844000,2026-02-20
Westlands,Apartment,3,4,1528.49,Parking (2),17500000,2026-02-20
Kitisuru,Townhouse,4,5,32.29,Parking (3),60000000,2026-02-20
Loresho,Apartment,4,5,43099.06,Parking (3),75000000,2026-02-20
Muthangari,Apartment,3,4,1733.0,Parking (2),27790000,2026-02-20
Westlands,Apartment,1,1,441.32,Parking (1),5300000,2026-02-20
Kilimani,Apartment,1,1,484.38,None,5500000,2026-02-20
Westlands,Apartment,2,3,1184.04,Parking (1),13000000,2026-02-20
Kileleshwa,Apartment,4,5,2454.19,Parking (2),26000000,2026-02-20
Kitisuru,House,5,4,53.82,Parking (6),85000000,2026-02-20
Karen,Townhouse,4,4,3229.2,None,90000000,2026-02-20
Westlands,Apartment,1,1,613.55,Parking (1),11236000,2026-02-20
Kilimani,Apartment,4,5,2475.72,Parking (2),26500000,2026-02-20
Kilimani,Apartment,5,6,2691.0,Parking (2),28200000,2026-02-20
Lavington,House,5,6,6781.32,"Parking (4), Garden",125000000,2026-02-20
Kileleshwa,Apartment,4,5,2454.19,Parking (2),26000000,2026-02-20
Kileleshwa,Apartment,3,4,2206.62,Parking (2),24000000,2026-02-20
Westlands,Apartment,1,1,613.55,Parking (1),6200000,2026-02-20
Peponi,Townhouse,4,5,1044.11,Parking (3),85000000,2026-02-20
Kiambu Road,House,7,8,75.35,Parking (6),85000000,2026-02-20
Kileleshwa,Apartment,2,2,1194.8,"Parking (1), Garden",10400000,2026-02-20
Kileleshwa,Apartment,2,2,1280.92,"Parking (1), Garden",11200000,2026-02-20
Kileleshwa,Apartment,2,2,1377.79,"Parking (1), Garden",12500000,2026-02-20
Westlands,Apartment,1,1,613.55,Parking (1),6200000,2026-02-20
